data,track,sleep,work,app,device,self,people,help,test,start,health,measure,zeo,post,new,question,rate,user,heart,change,project,sensor,tool,different,activity,idea,apps,record,research
549,312,207,299,397,72,248,227,203,170,146,138,146,29,147,134,158,210,110,78,149,97,66,87,71,61,103,48,81,94
826,401,208,297,573,118,181,227,161,141,167,155,194,24,140,179,109,245,116,73,96,96,32,118,117,89,90,84,52,103
2072,680,792,829,1339,432,335,340,417,216,362,236,325,834,361,315,241,487,215,258,283,178,320,160,208,213,243,163,205,187
1597,837,736,749,1245,404,356,306,353,276,341,419,341,434,344,361,305,456,261,209,170,197,324,222,171,208,229,194,160,200
815,472,247,304,778,177,175,117,172,79,109,244,171,109,107,166,124,257,89,148,106,70,74,91,65,67,82,125,74,93
1080,470,566,360,821,253,133,161,170,211,156,228,197,301,140,160,89,333,114,150,96,101,148,135,97,112,104,123,97,125
426,427,340,223,487,122,121,112,122,162,99,151,130,15,79,70,111,243,50,123,75,66,71,74,82,86,78,72,71,70
426,282,203,202,395,121,78,102,111,170,94,124,127,7,89,68,67,160,66,51,55,61,22,53,73,50,64,44,60,55
729,449,226,290,587,111,169,129,178,142,163,133,213,50,103,127,128,251,110,133,96,132,73,96,75,68,105,63,118,61
909,570,195,356,636,127,257,140,154,138,182,139,252,1,133,127,101,304,140,131,143,155,61,105,125,90,116,83,98,113
293,178,165,153,161,41,58,45,56,36,43,65,84,0,44,40,41,114,26,41,26,31,16,20,33,31,30,13,40,38
